name,located,registered_on
The Beehive Realty ,"Ajah, Lagos","Registered on Jun 28, 2017agent"
Layoramb Ventures,"Plot 179, Genesis Court Phase 2 Estate, Ajah, Lagos State, Lagos","Registered on Dec 28, 2016agent"
God's empire real estate consultant ,"Suit J178 Road 5, Ikota Shopping Complex VGC Lekki., Lagos","Registered on Oct 24, 2019agent"
Neighbourhood Review Nigeria Ltd.,,"Registered on Apr 07, 2020agent"
Dunovella Properties Ltd,,"Registered on Mar 08, 2020agent"
GraceAltar Homes ,,"Registered on Jul 09, 2019agent"
Poise and Ambrosia INVESTMENTS,,"Registered on May 07, 2014agent"
Seun Ola,,"Registered on Sep 23, 2016agent"
Bossy Properties,"1, Olowologbon street off shobo bus stop, Akowonjo, Lagos","Registered on Mar 19, 2018agent"
Wilson communication interprises,,"Registered on Nov 20, 2018agent"
T money properties,"Central Area, Abuja, Abuja","Registered on Jun 25, 2013agent"
MLS Properties,"Kilo bus stop, Lagos","Registered on Feb 12, 2015agent"
JETWORLD PROPERTIES,"Ikeja, Lagos","Registered on Jan 28, 2016agent"
Ifesco Properties,"Yaba, Lagos","Registered on Aug 26, 2019agent"
Zeezconsult Properties Management & General Merchandise ,"Suite 14/21, Yomade Complex, Awoyaya, Lagos, Lagos","Registered on Jul 17, 2019agent"
OIP Properties,,"Registered on Nov 21, 2017agent"
PRINCE ADEMOLA OSINUGA INTERNATIONAL,,"Registered on Jan 29, 2020agent"
Emeka Daniel ,"Chevron drive, Lagos","Registered on Sep 22, 2016agent"
Freddie Homes,"No 2 Quito street maitama Abuja Nigeria , Abuja","Registered on Feb 20, 2020agent"
FUTURELANDLORDS REALTORS.AND ASSOCIATES .LTD,"Blk 40,masha road ,surulere, Lagos","Registered on Aug 31, 2016agent"
Ola-kenniese & co,,"Registered on Mar 19, 2018agent"
AenisPropertiesAndArchitecture,,"Registered on Sep 12, 2018agent"
WapeL Nigeria Limited ,,"Registered on Sep 24, 2019agent"
Edgeline Properties,"11, Jimoh Aliu, behind sweet sensation Isheri., Lagos","Registered on Jan 27, 2020agent"
Paradise Homes,,"Registered on Nov 12, 2013agent"
Decade Homes ( Housing Mall),,"Registered on Nov 13, 2013agent"
PARACLETE GLOBAL INVESTMENT LTD,"western avenue, Lagos","Registered on Jan 31, 2018agent"
a$b properties,"Shop B3 Ibeju Market Ibeju Lekki Expressway, Lagos","Registered on Sep 30, 2015agent"
Unique property consultants,"Abraham adesanya , ajah Lagos , Lagos","Registered on Dec 12, 2019agent"
Smartlink properties,Lagos,"Registered on Mar 11, 2018agent"
Whitehawk Investment Limited,Lagos,"Registered on Jul 05, 2018agent"
temini ola,"Allen Avenue, Lagos","Registered on Nov 30, 2016agent"
property Marketers,,"Registered on Dec 17, 2016agent"
DIO Realty Limited,Lagos,"Registered on May 21, 2018agent"
Vitus Aniche,"Isheri Road, Ojodu Berger, Lagos","Registered on Mar 13, 2019agent"
PLANET HOMES,"23, Kosoko Street , Lagos","Registered on Aug 26, 2018agent"
TAWAB CONSTRUCTION AND PROPERTIES ,,"Registered on Apr 13, 2020agent"
FLEMZO NATIONS LTD,,"Registered on Aug 27, 2016agent"
ALEMOH INANAPE JOE. REAL ESTATE DEVELOPERS ,,"Registered on Dec 07, 2016agent"
Adekam global services Ltd,"Egbe, Lagos","Registered on Dec 19, 2017agent"
Hyginus E,"2j obasa close,off oba akran,lagos mainland, Lagos","Registered on Nov 29, 2015agent"
Enidas Properties Solution,,"Registered on Jan 12, 2017agent"
Midehomes,"13,Abudu str,Off Ramat crescent, Alhaja B/stop,Ogudu, Lagos","Registered on Sep 25, 2018agent"
KZM GLOBAL SOLUTIONS LINKS NIG LTD,"15, taiwo koya street,ilupeju, Lagos","Registered on Oct 08, 2018agent"
PROVIDENT HOMES,"Block A3, Suite 645, H.F.P Shopping Complex, by Abraham Adesanya,., Lagos","Registered on Feb 20, 2020agent"
QUOLAR GLOBAL SERVICES,,"Registered on Feb 15, 2020agent"
Ubong Zion,,"Registered on Aug 31, 2019agent"
Smatkid,,"Registered on Oct 10, 2018agent"
Diamond property Limited,,"Registered on Aug 14, 2016agent"
Longinus ejikeme,"70D Allen Avenue Ikeja opposite MTN office , Lagos","Registered on Jan 16, 2017agent"
Cedars Property ltd ,"8,Isolo Road , Oke Afa, Isolo , Lagos., Lagos","Registered on Sep 25, 2019agent"
Xanderhomes ,Abuja,"Registered on Sep 14, 2017agent"
Frances Iwuozor,,"Registered on May 19, 2017agent"
EasyConnect Realtor International,"Jemtok street, off Ago palace way, Okota, Lagos","Registered on Mar 10, 2015agent"
Ronald Crown Konsult ,"13 mercy eneli off marsha road surulere, Lagos","Registered on May 05, 2016agent"
08124965354,"18 Esomo Close , Off Toyin Street, Ikeja, Lagos","Registered on Aug 30, 2018agent"
Tenant home finders,"Fatai Irawo Street Ajao estate off international airport road, Lagos","Registered on Feb 23, 2018agent"
Mandy Homes and Investment Limited ,,"Registered on Feb 09, 2019agent"
Anni Francis,"Block 36, Plot 13, 38 Dogwood Crescent Northern Foreshore, Chevron Drive, Lagos","Registered on Sep 26, 2017agent"
Ironshore Property Development Company Ltd,,"Registered on Apr 28, 2016agent"
Ramos of Lagos Realty,"Kachupp global trend, Lagos","Registered on Sep 18, 2017agent"
Kachupp Homes,,"Registered on Apr 23, 2020agent"
Anni E. Enterprises,"87 Allen Avenue Ikeja Lagos, Lagos","Registered on May 07, 2017agent"
Trustfield Realty Limited,,"Registered on Aug 29, 2016agent"
Hamborg Properties,"No 2 Felix Omoghehi close. Divine Homes Estate,, Lagos","Registered on Apr 24, 2017agent"
Makprote,"Suite 3, Stallion Complex, Ona Ara bus stop along Ipaja Ayobo Road. Lagos state, Lagos","Registered on Jan 23, 2015agent"
Eagle Eye Property Company,"Surulere, Lagos","Registered on Oct 13, 2016agent"
"??Lambe & EBOlGE properties,","21, olumo street, Onike Yaba Lagos, Lagos, Lagos","Registered on Dec 15, 2019agent"
Azeez Consult & Property Management,"7, ISAAC OPEYEMI STREET, ADEBA , Lagos","Registered on Jun 28, 2019agent"
GIOGO PROPERTIES,,"Registered on Jan 25, 2018agent"
Omniable Consulting ,,"Registered on Jun 27, 2018agent"
PRECIOUS PROPERTIES,,"Registered on Jun 10, 2019agent"
BARBADOS GATE LTD.,"Ajah, Lagos","Registered on Jul 18, 2018agent"
Call Realtor Lex,,"Registered on Nov 23, 2017agent"
Gifted Properties,,"Registered on Oct 02, 2014agent"
Danadel Solutions ,,"Registered on Oct 07, 2016agent"
Tgeemax Services Limited,"Ijaiye Road opposite WAEC/NIJ Ogba Lagos, Lagos","Registered on Jul 13, 2016agent"
Jetobless Properties,"OGE-ONIHA QUARTERS, Delta","Registered on Feb 26, 2018agent"
CITY VIEW DIGITAL & CORPORATE SERVCES NIG LTD,"1 arapasanwo street, Lagos","Registered on Dec 20, 2018agent"
Zoas properties ventures,"OJODU , Lagos","Registered on May 28, 2018agent"
JBG Homes,"Mayfair garden close 17, Lagos","Registered on Mar 20, 2020agent"
EMMIDEZ homes limited ,,"Registered on Jan 20, 2017agent"
CHIGOLD HOMES & PROPERTY LIMITED,"2 OMO OBA OLUKOLU STREET IGBO EFON LEKKI LAGOS, Lagos","Registered on Jun 07, 2017agent"
VICTOR PROPERTY VENTURES,"olasuru street, Lagos","Registered on Nov 06, 2017agent"
jcube properties limited,"Suite 204, Pearl Plaza, Ajiwe Ajah, Lagos","Registered on Dec 19, 2013agent"
Joossa Realtors,"27B, Acorn Place, Providence Street, Lekki Phase 1, Lagos, Lagos","Registered on Jul 15, 2016agent"
Banksome Global Realtors,"10 Oregun road Oregun Ikeja, Lagos","Registered on Oct 11, 2016agent"
360 Properties,"Aare, Bodija, Ibadan, Oyo State, Oyo","Registered on Jul 13, 2019agent"
Evergreen Real Estate,,"Registered on Jan 19, 2019agent"
Civil Arena Properties,,"Registered on Mar 14, 2019agent"
Mex consult,,"Registered on Nov 22, 2017agent"
Quality Investment ,"D1 Flat 510 1004 housing Estate, Victoria island, Lagos","Registered on Sep 03, 2016agent"
Perfect Havens Global,"Road 2, Ikota Shopping Complex, Victoria Garden City, Lekki Epe-Expressway, Lagos, Lagos","Registered on Jul 03, 2019agent"
N. Y. O. L U X U R Y H O M E S ®,Lagos,"Registered on Dec 14, 2019agent"
ZKC Properties,,"Registered on Jul 30, 2019agent"
John seyi,,"Registered on Mar 21, 2017agent"
"A,O,David & co","8, Providence Street Lekki-phase-1, Lagos","Registered on Jan 03, 2020agent"
Future Homes Properties & Inv. Ltd,,"Registered on Apr 01, 2017agent"
Topworld properties,"6 Lebanon Street, dugbe , Oyo","Registered on Jan 29, 2018agent"
Naija Choice Property ,"Sura Shopping Complex, Lagos","Registered on May 10, 2017agent"
UJUNWA ESTATE SERVICES ,"3, OLIYIDE STREET, OFF UNITY ROAD BY TOYIN STREET, IKEJA, LAGOS, Lagos","Registered on Oct 07, 2018agent"
SELOVIAN (PROPERTIES) INT'L LTD,"Iyankanku, Oyo","Registered on Sep 19, 2016agent"
Best choice consulting,"7a, Acme Road, Ogba, Lagos","Registered on Feb 12, 2019agent"
K2comluxury Limited,,"Registered on Jan 24, 2019agent"
Spudy properties,,"Registered on Sep 14, 2016agent"
Innerowrkings investments limited,,"Registered on Jul 13, 2018agent"
Ubosi Eleh + Co. Estate Surveyors + Valuers,"Obafemi Awolowo Way, Lagos","Registered on Sep 23, 2019agent"
Rydal Mews Limited,,"Registered on Jul 09, 2019agent"
Giwa Realty ,,"Registered on Feb 26, 2018agent"
Grade A Real Estate Agency Ltd,"DFIC Plaza Opposite Gold Crown Hotel, Port Harcourt Rd, Imo","Registered on Apr 04, 2013agent"
Landlord Hero,"NO. 62, KUDIRAT ABIOLA ROAD, IKEJA, Lagos","Registered on Jan 20, 2020agent"
Common Properties,,"Registered on Feb 10, 2016agent"
ROSEMOND HILLS LIMITED,"TAWIO ISHOLA STREET, Lagos","Registered on Jul 14, 2019agent"
Fesgomar integrated services,,"Registered on Nov 12, 2018agent"
KOLSON PROPERTIES,"23, ayodele ipaye close , Lagos","Registered on Jan 18, 2020agent"
ITJ REALTOR ,,"Registered on Mar 17, 2020agent"
OPLACE NIGERIA,,"Registered on Mar 17, 2017agent"
West-Coast Property Group,"No 19, Olaniyi street Fagba Lagos, Lagos","Registered on Apr 01, 2018agent"
DORIWHALLY PROPERTIES ,"AJAO ESTATE , Lagos","Registered on Jul 18, 2016agent"
Bimadek Properties Ventures,,"Registered on Feb 09, 2018agent"
DHEJOY PROPERTIES,Ogun,"Registered on Jan 04, 2017agent"
richie realtors,"olasuru shopping complex,sangotedo,ajah,lekki, Lagos","Registered on Jun 15, 2015agent"
Muyiwa Olusanya Consulting,Lagos,"Registered on Mar 12, 2020agent"
Fanfield Homes and Investment LTD,,"Registered on Sep 03, 2018agent"
SEEDEQ NIGERIA LIMITED,Lagos,"Registered on Sep 18, 2017agent"
Gerarland Ventures LTD. (Gerarland_realty ),"Plot 622, Opp American international School Abuja Nigeria , Abuja","Registered on Oct 06, 2017agent"
Clayboard Nig. Ltd,"14 baale str off alpha beach road Lekki , Lagos","Registered on Apr 11, 2019agent"
Homesandshelter360,,"Registered on Apr 03, 2023agent"
Maxdurban Chijioke,,"Registered on Sep 02, 2016agent"
First Colony Real Estate Company Ltd.,,"Registered on Oct 09, 2016agent"
GODSON HOMES,"GBAGADA, Lagos","Registered on Oct 07, 2016agent"
Sylvanus Agu,,"Registered on Aug 02, 2016agent"
S- Maths Properties,,"Registered on Feb 09, 2017agent"
Victor Chukuigwe and Co ,"Kayode Oni street , Lagos","Registered on Jan 19, 2020agent"
GUI integrated concept LTD,,"Registered on Jan 02, 2019agent"
Superite Estates Investment Limited,,"Registered on Oct 18, 2018agent"
Tee-Kay real estate company,"No 1 Oremeta estate, Ologuneru , Lagos","Registered on Oct 11, 2017agent"
Kingdom Dream Enterprises ,Lagos,"Registered on Mar 31, 2019agent"
Oputa-Jay Apartments ,,"Registered on Nov 22, 2017agent"
Zeekaph Concepts Services,"Shiro Street Off Oweh Street Jibowu Yaba Lagos State, Lagos","Registered on Aug 25, 2016agent"
TOS PROPERTY SERVICES ,"Sholanke Street , Lagos","Registered on May 08, 2017agent"
ZUBEES REALTY LIMITED,"23 AGODOGBA AVENUE, PARKVIEW ESTATE, Lagos","Registered on Apr 11, 2019agent"
Island luxury living home & lifestyle ,,"Registered on Oct 21, 2017agent"
Austel right & co,"Aminu Kano crescent Wuse ll Abuja, Abuja","Registered on Apr 11, 2017agent"
CW REAL ESTATE,"1 towry close off idejo street victoria island, Lagos","Registered on Jan 20, 2017agent"
Dafem Nig Ltd,"8,Adetayo osho street Akoka , Lagos","Registered on Aug 17, 2017agent"
D.Plus Real Estate And Property Management,"Plot 12 Ayoola Bus Stop Abesan Estate Gate Ipaja Lagos, Lagos","Registered on Sep 08, 2017agent"
DeGeniux Property World,"18, adeyemi street, ikotun, Lagos","Registered on Mar 13, 2018agent"
King palace consulting ,"Osapa London , Lagos","Registered on Aug 11, 2017agent"
Macroda Nig Ltd,"15 Shobowale Street, Off Akilo Road, Ogba, Lagos","Registered on Nov 26, 2017agent"
Totlas properties real estate management ,"Omole phase 1 ojodu Lagos , Lagos","Registered on Oct 26, 2018agent"
Masel Homes 'N' Properties,"15-17 Unity Avenue Agiliti Mile 12, Lagos","Registered on Jan 06, 2017agent"
LKO PROPERTIES,,"Registered on Aug 08, 2016agent"
nuville realties,"road 57 , house 52 VGC , Lekki Lagos, Lagos","Registered on Sep 08, 2017agent"
my dreamhome property,"1|2 shofolarin centre akogun plaza,arepo ogun state., Lagos","Registered on Sep 10, 2018agent"
YB property consult,,"Registered on Oct 28, 2019agent"
mausi realty,"89, Lagos","Registered on May 07, 2013agent"
Kam360 Degrees Realty,"Salem Ikate Elegushi , Lagos","Registered on Sep 21, 2016agent"
odogwu concepts,Lagos,"Registered on Oct 17, 2015agent"
Beck'ncall Housing Solutuons,,"Registered on Sep 03, 2018agent"
Emmanuel Aliozor ,"Shop c28 AOS Shopping Mall Adeniran Ogunsanya, Lagos","Registered on Jun 10, 2013agent"
Ross & Ross Realtor Ltd ,,"Registered on Feb 13, 2020agent"
Propertycitycentre,,"Registered on Feb 02, 2020agent"
Benalise Global concept investment Ltd,"No 9 Orchid Road Lekki 2nd Tollgate Lagos, Lagos","Registered on Nov 13, 2013agent"
NEXTPHASE REALTORS ENTERPRISE ,"okomaiko, Lagos","Registered on May 21, 2017agent"
House Solution,,"Registered on Mar 10, 2018agent"
REAL ESTATE GENERALS(R.E.G),"264, obanikoro/Ikorodu road, Lagos","Registered on Nov 04, 2016agent"
IEC PROPERTIES ENT,,"Registered on Jun 14, 2019agent"
WHITEBRONZE INVESTMENT LTD,,"Registered on May 23, 2019agent"
The Island Investors Ltd. ,Lagos,"Registered on Feb 14, 2018agent"
Properties Nigeria,,"Registered on Mar 15, 2020agent"
Oluwaseun Fajana ,,"Registered on Apr 14, 2020agent"
Layoramb Ventures,"Gbagada, Lagos","Registered on Jan 19, 2015agent"
Ope Akanimodo,,"Registered on Jul 26, 2018agent"
Guavaproperties Limited ,"Haruna, Lagos","Registered on Oct 03, 2017agent"
KennyPaul & Co ,Lagos,"Registered on Nov 25, 2014agent"
Good Links Property,"Maitama, Abuja","Registered on Apr 04, 2018agent"
AP Global Homes,"suit 204 pearl plaza ajiwe, Lagos","Registered on Sep 12, 2017agent"
 Royal realtors properties,"cappa House, 1st floor,chevyview, off chevron drive lekki, peninsula,lagos, Lagos","Registered on Jun 04, 2015agent"
Builders Stone Konsult,"20 oduyemi street anifowoshe , Lagos","Registered on Mar 03, 2014agent"
Anene and Associates,"3 Ajele Street, Off Broad Street, Lagos","Registered on Jun 19, 2018agent"
ROSEMONT REALTORS LTD,"22,ogo oluwa street, bariga temple street, Lagos","Registered on Aug 13, 2013agent"
mr akinola,"Lekki county road, Lagos","Registered on Sep 18, 2017agent"
Breathing Space.,,"Registered on Dec 02, 2019agent"
Civil arena properties,"Queen str, Lagos","Registered on May 28, 2013agent"
Ontale oladipo int'l ltd,"15b, Agbaoku Street, Off Opebi Road, Ikeja, Lagos","Registered on Aug 09, 2018agent"
kinsman estates,"Ikoyi, Lagos","Registered on Apr 08, 2016agent"
John and Paul Properties,"114 MKO Abiola Way,Ring Road,Ibadan, Oyo","Registered on Apr 01, 2018agent"
Patomsol Realtors,"Suite 091-Block E1, Road 1 HFP Eastline Shopping Complex By Abraham Adesanya Ajah, Lagos., Lagos","Registered on Jun 08, 2017agent"
Akinpelu Hammed,,"Registered on Aug 13, 2018agent"
mathew ogundele property and co,"1,ogundele close, off puposola last bus-stop abule egba, lagos state, Lagos","Registered on Oct 13, 2017agent"
United Auction House Ltd,,"Registered on Nov 21, 2017agent"
Idiege Titus Real estate agencies,,"Registered on Mar 22, 2019agent"
Alphardlimited,,"Registered on Jan 22, 2017agent"
Rayetel Properties Limited,"Kofo Abayomi, Lagos","Registered on May 02, 2016agent"
Goodness Homes & Properties,"Last Born Plaza Akala Expressway Oluyole Extension Ibadan, Oyo","Registered on Nov 15, 2016agent"
BeckyBest Realty,,"Registered on Aug 03, 2019agent"
Grandview Integrated Link,,"Registered on Mar 05, 2020agent"
Property Solution Ventures (PSV),,"Registered on Feb 05, 2020agent"
prolific and pertinent homes limited ,"12 eze plaza megida bus stop ayobo Lagos , Lagos","Registered on Jul 25, 2016agent"
God's Gift Properties And Investment (A subsidiary of Douglas Ifada & Associates) ,"16 Thomas Salako Street, 2nd Floor, Ogba, Lagos","Registered on Oct 06, 2015agent"
Emmanuel Okafor & Co,Lagos,"Registered on Mar 14, 2017agent"
Solidwalls Properties LTD,"23 Furo Ezimora Street,Lekki Phase 1, Lagos","Registered on Nov 07, 2016agent"
"DE-BEST OPTION'S PROPERTIES LTD, AGO PALACE WAY OKOTA/AMUWODOFIN LAGOS RC;1453138","4/6 debo bashorun street off ago palace Way okota Lagos , Lagos","Registered on Feb 16, 2015agent"
TEMITOPE GLOBAL TEAM SERVICES,"Dopemu, Lagos","Registered on Nov 24, 2017agent"
KIM THOMPSON VENTURES ,"Bishop Oluwole street, Lagos","Registered on Sep 17, 2017agent"
 ,,"Registered on Jul 24, 2018agent"
CHECKS LINK PROPERTIES,"Alapata, Ondo","Registered on Jul 11, 2018agent"
Solution Point Distribution Network Limited,"Ogba , Lagos","Registered on Sep 21, 2015agent"
The beautiful gate properties,"Ojota, Lagos","Registered on Dec 19, 2013agent"
